#{"t_start": 1769942380.6310866, "env_id": "None"}
r,l,t,success,collision,timeout
4.2585073,1999,67.430478,False,False,False
-1.8098952,1999,135.222846,False,False,False
2.8944046,346,146.880013,True,False,False
2.8276374,465,162.83065,True,False,False
0.71586823,1999,228.114205,False,False,False
8.166826,623,249.256752,True,False,False
0.18702205,541,266.573307,True,False,False
1.4827214,321,277.023279,True,False,False
-0.311741,1999,344.666433,False,False,False
0.7274065,825,372.431212,True,False,False
-0.908109,334,383.490672,True,False,False
3.4653018,1155,421.732562,True,False,False
1.9948732,370,434.506917,True,False,False
-2372.105,1999,498.225271,False,True,False
3.6981318,534,515.776379,True,False,False
3.3160043,939,548.00103,True,False,False
5.9529686,776,573.668855,True,False,False
2.9947152,712,596.28476,True,False,False
-3.8156261,562,615.036858,True,False,False
0.587379,454,629.990685,True,False,False
1.4602097,554,649.033927,True,False,False
2.2080193,1999,716.48412,False,False,False
-1.0429196,417,730.627428,True,False,False
2.470634,1152,769.615725,True,False,False
1.934922,324,779.739571,True,False,False
1.8224715,532,796.465835,True,False,False
4.0210543,669,819.273506,True,False,False
3.038237,323,830.088709,True,False,False
2.7880788,1239,870.431205,True,False,False
-1.1895477,406,884.23055,True,False,False
-0.04373444,485,900.546895,True,False,False
8.266197,688,923.238442,True,False,False
5.5040097,744,946.721022,True,False,False
2.7085614,391,960.086406,True,False,False
2.0212982,471,975.919186,True,False,False
2.4535804,742,999.771025,True,False,False
2.4746766,1999,1069.018798,False,False,False
-2686.4578,1999,1138.31101,False,True,False
2.241928,415,1150.610591,True,False,False
4.243803,921,1181.352933,True,False,False
4.7419524,574,1200.953466,True,False,False
4.5268145,1006,1235.295732,True,False,False
-0.5662088,561,1254.576896,True,False,False
5.858279,497,1271.577653,True,False,False
2.7808368,712,1295.828156,True,False,False
8.56818,908,1327.125873,True,False,False
2.6091523,519,1344.718553,True,False,False
3.5270286,591,1364.502512,True,False,False
-0.6237963,294,1374.301536,True,False,False
-0.24981852,1999,1440.211383,False,False,False
3.624138,1999,1506.385158,False,False,False
3.9273756,977,1538.037072,True,False,False
-0.7524679,1925,1601.692041,True,False,False
3.0509858,452,1617.350573,True,False,False
-2.9770875,1999,1684.085328,False,False,False
-1.2873232,1999,1751.1245,False,False,False
2.9521303,422,1765.567778,True,False,False
8.895692,823,1793.933161,True,False,False
-0.84445417,1369,1838.385834,True,False,False
0.6898686,344,1849.626136,True,False,False
2.924412,1999,1915.543539,False,False,False
2.9870756,593,1935.126817,True,False,False
-0.90931964,504,1952.309896,True,False,False
1.5173362,645,1972.911049,True,False,False
0.2620418,356,1984.03298,True,False,False
3.3307943,1999,2051.685964,False,False,False
8.8812065,945,2080.087537,True,False,False
-4.7844243,520,2097.903491,True,False,False
8.007583,661,2119.569614,True,False,False
0.38998783,553,2138.360211,True,False,False
2.963042,1999,2204.875709,False,False,False
0.36001524,482,2221.283029,True,False,False
-2.0722542,551,2239.753211,True,False,False
10.237216,911,2268.318479,True,False,False
2.8883991,1999,2337.327046,False,False,False
-3.7594557,261,2346.034254,True,False,False
2.5885534,386,2359.076509,True,False,False
